code,Titre,Réalisateur / Réalisatrice,Genre,Genre_2,Langue,Année,Entrées,IMDB,Affiche_pic_url,Trailer,Synopsys
DIESCHWEIZERMACHER,DIE SCHWEIZERMACHER,Rolf Lyssy,Fiction,Comedy,GER,1978,"940,742",7.3,http://www.swissfilms.ch/static/pictures/film/F040687.jpg,https://www.youtube.com/watch?v=eyqVmQmQPx0,Che formaggio si mette nella fondue? Pratica lo sci? Una commedia satirica racconta le peripezie con le quali sono confrontati i candidati alla naturalizzazione nella Svizzera degli anni Settanta. 
ACHTUNGFERTIGCHARLIE!,"ACHTUNG, FERTIG, CHARLIE!",Mike Eschmann,Fiction,Comedy,GER,2003,"560,523",5,http://www.swissfilms.ch/static/pictures/film/F030562.jpg,https://www.youtube.com/watch?v=W5IvYUWWttQ,"Antonio Carrera sta per sposare la figlia di un mafioso, quando l’esercito viene a prelevarlo."
DIEHERBSTZEITLOSEN,DIE HERBSTZEITLOSEN,Bettina Oberli,Fiction,Drama,GER,2006,"559,603",7.2,http://www.swissfilms.ch/static/pictures/film/F051239.jpg,https://www.youtube.com/watch?v=DVMvaKHaEQg,"In un villaggio conservatore dell’Emmental, quattro anziane decidono di aprire un negozio di biancheria intima di lusso, creando non poco scompiglio nella comunità. "
MEINNAMEISTEUGEN,MEIN NAME IST EUGEN,Michael Steiner ,Fiction,Comedy,GER,2005,"543,534",6.8,http://www.swissfilms.ch/static/pictures/film/F040999.jpg,https://www.youtube.com/watch?v=I-3WEh3-nlw,"Tratto da un libro per bambini, il film racconta la fuga di quattro ragazzi alla ricerca di un tesoro. Un’avventura che mette in luce il valore dell’amicizia e il difficile rapporto tra figli e genitori. "
LESPETITESFUGUES,LES PETITES FUGUES,Yves Yersin ,Fiction,Comedy / Drama,FRE,1979,"424,939",7.6,http://www.swissfilms.ch/static/pictures/film/F113348.jpg,https://www.youtube.com/watch?v=Z0o5WuSO54w,"Emblema del Nuovo cinema svizzero, racconta la sete di libertà di Pipe, bracciante in una fattoria. La critica di allora lo aveva definito “il film più euforico, impertinente e deliziosamente liberatore” della stagione."
SCHELLENURSLI,SCHELLEN-URSLI,Xavier Koller,,Family,GER,2015,"422,845",7.4,http://www.swissfilms.ch/static/pictures/film/F155215.jpg,https://www.youtube.com/watch?v=hL4N0F6u7GA,"Tratto da una fiaba per bambini - tradotta in nove lingue - il film racconta le avventure del piccolo Ursli tra le montagne svizzere, alla ricerca di un campanaccio."
GROUNDING–DIELETZTENTAGEDERSWISSAIR,GROUNDING  – DIE LETZTEN TAGE DER SWISSAIR,"Michael Steiner, Tobias Fueter",Fiction,Drama,GER,2005,"370,984",6.9,http://www.swissfilms.ch/static/pictures/film/F040995.jpg,https://www.youtube.com/watch?v=WzAaXTU-rGA,"Gli ultimi giorni della Swissair, il famoso grounding del 2 ottobre 2001 e tutto ciò che ha condotto a questa catastrofe."
EINSCHWEIZERNAMENSNÖTZLI,EIN SCHWEIZER NAMENS NÖTZLI,Gustav Ehmck,Fiction,Comedy,GER,1988,"350,681",5.8,http://media.services.cinergy.ch/media/box800/bc853784c0d939d46829c8787e4c489982d66f90.jpg,http://www.srf.ch/play/tv/me_gipfelstuermer/video/ein-schweizer-namens-noetzli-1988?id=680b54a9-12ab-4bf3-8e3f-f11350eac38e,"Tra le coproduzioni svizzere di maggior successo, questa commedia ha come protagonista il famoso attore svizzero-tedesco Walter Roderer."
ERNSTFALLINHAVANNA,ERNSTFALL IN HAVANNA,Sabine Boss,Fiction,Comedy,GER,2002,"313,617",6.5,http://www.swissfilms.ch/static/pictures/film/F020347.jpg,https://www.youtube.com/watch?v=-l3eIdY5wZQ,Un incidente tragicomico fa tremare l’ambasciata svizzera all’Avana. Un episodio che rischia di creare una nuova crisi diplomatica tra Cuba e gli Stati Uniti.
MORETHANHONEY,MORE THAN HONEY,Markus Imhoof,Documentaire,Documentary,GER,2012,"254,167",7.5,http://www.swissfilms.ch/static/pictures/film/F113449.jpg,https://www.youtube.com/watch?v=2NT05qEJxUk,Cosa accadrebbe se le api dovessero scomparire? Un documentario s’interroga sul futuro di questo insetto e del nostro pianeta. 
